parliament_a,parliament_b,policy_similarity,shared_focus,n_a_to_b,n_b_to_a,relation_type,shared_target_cohort,tension_present,tension_nature,rationale,evidence_spans,confidence
EST,ISL,0.9468,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,1,0,silent_convergence,"refugees / border_control, refugees / national_security, refugees / allocation_of_resources",false,,"The parliaments have a high cosine similarity and share similar focus areas, indicating convergence. However, there is very little cross-mentioning, suggesting that this convergence may be externally driven rather than due to direct interaction or modeling.","[{""direction"": ""EST->ISL"", ""count"": 1}, {""direction"": ""ISL->EST"", ""count"": 0}]",0.6
CZE,HRV,0.9465,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,23,29,mutual_acknowledged_alignment,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"Both the Czech Republic (CZE) and Croatia (HRV) have shown explicit recognition of each other's stance on refugee policies, particularly regarding border control, national security, and resource allocation. They have engaged in multiple cross-mentions, indicating a mutual alignment on these issues.","[{""direction"": ""CZE->HRV"", ""spans"": [""[2016] ... If the wave of refugees passing through the Balkans is limited, not only Macedonia will be closed, but, of course, Serbia, Croatia, Slovenia, Austria for free passage of refugees, it is clear that in the coming weeks refugees will remain in Greece. ..."", ""[2018] ... I say we take Bulgaria, Romania, Croatia immediately to Schengen and we keep the Western Balkans here. ..."", ""[2022] ... We, as the Czech Republic, have initiated negotiations - I am handing over the relay personally at the moment, because the Presidency of the Czech Republic is approaching - with eight countries, Croatia has now joined, where the so-called joint appeal is to the European Commission, and the E... ..."", ""[2022] ... We, as the Czech Republic, have initiated negotiations - I am handing over the relay personally at the moment, because the Presidency of the Czech Republic is approaching - with eight countries, Croatia has now joined, where the so-called joint appeal is to the European Commission, and the E... ...""]}, {""direction"": ""HRV->CZE"", ""spans"": [""[2017] ... In the Czech Republic, she was supposed to be in Lika and there she is. ..."", ""[2020] ... With the Czech Republic, communication may be something even better, watching the Prime Ministers talk but looking at their country president's statement. ..."", ""[2020] ... Here were the thoughts that I wanted to share about this, that the question of foreigners, of course, should be addressed, we should show solidarity, on the other hand, we should take care when we communicate relations with the abroad that we first solve relationships in the house and then whe... ..."", ""[2020] ... For now, such countries in Europe are few, Norway, Estonia in this more limited form, the Czech Republic, Portugal and Germany, and it is certainly good to join that trend sooner than later. ...""]}]",0.95
AUT,LVA,0.9459,refugees / border_control; refugees / national_security; refugees / international_law,6,2,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Austria (AUT) frequently mentions Latvia (LVA) in the context of refugee policies and border control, indicating that Austria views Latvia as a model. However, Latvia does not reciprocate this by mentioning Austria in a similar context, suggesting a one-sided modeling relationship.","[""[2016] ... **Latvia intends to take up 776 refugees over the next two years .** ..."", ""[2016] ... **In 2015 , after the EU Statistical Office Eurostat , Latvia decided positively 30 asylum applications , Austria 17 750 .** ..."", ""[2021] ... **However , Latvia and Lithuania are also affected by their external borders .** ..."", ""[2022] ... **There are countries like the Baltic states of Lithuania and Latvia that are trying to legalize pushbacks at EU level , and we must support this as Austria .** ...""]",0.8
GBR,SVN,0.9456,refugees / border_control; refugees / national_security; refugees / international_law,0,90,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"GBR does not mention SVN at all, indicating no direct interaction or acknowledgment. However, SVN frequently mentions GBR, particularly in contexts related to border control, national security, and international law. This suggests that GBR may be modeling its policies based on SVN's approach, especially since the cosine similarity is very high.","[""[2016] ... This is happening in Great Britain , Spain , France , well , the Slovenian government and the right wing of the political class are still engaged exclusively in increasing repression , conferring police powers on the military and establishing fences ."", ""[2019] ... The draft law introduces an important principle of equal treatment for cities , which stipulates that the provisions of the Social Security Rights Act will apply only if the United Kingdom provides the citizens of the Republic of Slovenia , their family members and survivors with equal treatment in ..."", ""[2021] ... All of this is due , as you know , to the exit of Great Britain by 31 . 12th year last year ."", ""[2021] ... At the same time , of course , we are also saving in this law the withdrawal of the United Kingdom from the European Union and that transitional period , which is also a lane 21 . 12 .""]",0.8
LVA,BGR,0.9454,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,1,3,silent_convergence,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"The parliaments have a high cosine similarity and share similar focus areas related to refugees and border control. However, there is minimal cross-mentioning, with LVA mentioning BGR only once, indicating that the convergence is likely externally driven rather than due to direct interaction.","[""[2016] ... In Warsaw, a decision was made to place four multinational battalions permanently in Poland, Lithuania, Latvia and Estonia, and with this act NATO is increasing tensions at its eastern borders, as the Russian side will take response military measures, leading to dangerous escalation and confro... "", ""[2019] ... I'll tell you right now: check in Eurostat, open your computer right now, see where Lithuania is, see where Latvia is, Greece is ahead of us. ..."", ""[2021] ... On 18 August there was an extraordinary meeting of the interior ministers, notice on the integrated crisis response mechanism, to respond to the migrant crisis in Lithuania, Latvia and Poland, born by migrants rather by Belarus. ...""]",0.7
GBR,HRV,0.9453,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,0,212,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"GBR and HRV have a high cosine similarity in their migration policies, focusing on refugees, border control, and resource allocation. However, GBR does not mention HRV at all, while HRV mentions GBR 212 times, indicating that GBR may be modeling its policies after HRV without explicit acknowledgment.","[""[2019] So, get out of the EU, for example. As the UK now wants to do, it would mean getting out of the European economic space."", ""[2020] I just wanted to briefly refer to this question of reciprocity that you pointed out, especially in regulating the status of citizens of the United Kingdom and on the other hand of the EU."", ""[2020] What is particularly important is that the withdrawing agreement recognises the need for mutual protection, hence mutual protection of EU citizens and citizens of the United Kingdom and members of their families who were entitled to freedom of movement before 31 December 2020, and guarantees the e"", ""[2021] Each country therefore assumes it has some own idea, however, precisely because of the fact that we have agreed to the withdrawing agreement that those citizens who have had an orderly stay in the UK, EU citizens and vice versa, UK citizens in the Member States, and so on in Croatia, will cont""]",0.8
GBR,POL,0.945,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,0,314,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"GBR does not mention POL in any context related to migration policy, indicating that POL is modeling GBR's policies without reciprocal acknowledgment. The high cosine similarity suggests that POL is closely following GBR's policies, particularly in the areas of refugees, border control, and resource allocation.","[""[2019] ... These citizens of the United Kingdom of Great Britain and Northern Ireland, who are present in Poland, are probably several thousand and the Polish Government and the Polish Parliament are faced with the necessary regulations relating to access to the labour market, protection of workers' claims ..."", ""[2019] ... Such a technical issue in the UK is the physical availability of the UK market through geography, the insularity of the market ..."", ""[2022] ... The United Kingdom has put forward a proposal to adopt 100,000. refugees who would reach the British families ...""]",0.85
SVN,EST,0.9444,refugees / border_control; refugees / national_security; refugees / international_law,6,12,mutual_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Both countries have similar policies on refugees and border control, evidenced by shared focus areas and cross-mentions. SVN mentions Estonia's contributions and Estonia reciprocates with mentions of SVN's assistance, indicating a mutual modeling relationship.","[{""direction"": ""SVN->EST"", ""spans"": [""[2015] ... The country - by - country review is as follows : 52 from Hungary , 26 Estonia , 20 Czech Republic , 20 Latvia , 20 Lithuania , 20 Slovakia , 14 from Austria , 11 from Germany and 5 from France , and arrangements are under way to conclude an agreement on the participation of foreign police from Roma"", ""[2015] ... However , discussions on the prohibition of the wearing of burks in public places take place in both Latvia and Estonia ."", ""[2018] ... Even those countries that have now said that they will not be with us , like Estonia , but I know firsthand why it is because I sat with the Prime Minister ."", ""[2018] ... And because that was not the case , Estonia retreats .""]}, {""direction"": ""EST->SVN"", ""spans"": [""[2015] ... We sent 25 experts to Slovenia , which is very likely to be the biggest contribution , I dare say , compared to other countries , given the size of our country ."", ""[2016] ... We responded to Slovenia 's request for help when they asked to send police officers to deal with the refugee fire and to ensure order ."", ""[2016] ... When Slovenia asked for assistance in resolving the migration crisis and the Ministry of the Interior and the Police and Border Guard sent their police officers there to help , the provisions of resolution 1325 were carefully considered in the decision and there was a woman among the police officers"", ""[2016] ... The Police and Border Guard Board has gained practical experience in managing the migration crisis in missions in Slovenia and Greece .""]}]",0.9
ITA,ISL,0.9438,refugees / national_security; refugees / border_control; refugees / international_law,1,105,mutual_complaint,refugees,true,mutual_complaint,"Both Italy and Iceland express complaints about the treatment of refugees, with Iceland criticizing Italy's handling of asylum seekers and mentioning Italy in a negative context. Italy also expresses frustration with the situation of refugees coming from secure states like itself.","[""[2015] ... I find it very strange to send inmates to Italy ..."", ""[2021] ... from applications received between June 15 and the end of 2020, there were 70% cases from individuals who have already received international protection in Europe, such as Hungary, Greece, and Italy ..."", ""[2021] ... Any who intend to apply for asylum in the Netherlands or Norway or France first land in Italy because of the prospect of getting stuck there ..."", ""[2022] ... Absolutely away from the food, who should appreciate it, all these defenseless people will not remain in this service because they come from a so-called secure state, such as Greece or Italy ...""]",0.8
NLD,TUR,0.8503,refugees / border_control; refugees / national_security; refugees / international_law,2903,15,mutual_complaint,refugees / border_control; refugees / national_security; refugees / international_law,true,mutual_complaining,"Both the NLD and TUR parliamentarians engage in mutual complaints, with the NLD expressing concerns about trafficking and the treatment of asylum seekers, while TUR parliamentarians criticize the NLD and other countries for rising far-right parties and their treatment of Turkish expatriates. The complaints are explicit and reciprocal.","[{""direction"": ""NLD->TUR"", ""spans"": [""[2016] I understand your concerns on this point, a concern that we share with Turkey from Greece is part of the strategy to solve the problem of trafficking in human beings."", ""[2016] At least half a million Syrian children in Turkey do not attend school, UNICEF said to me in Turkey last summer."", ""[2017] The claim that asylum seekers are sent back to Turkey appears to be nonsense."", ""[2021] I have also travelled to Qatar and Turkey on this and in implementation of the Belhaj motion to ask for their support in facilitating the safe departure of all these people.""]}, {""direction"": ""TUR->NLD"", ""spans"": [""[2017] You're looking at Germany, the Netherlands, you're looking at France; racist parties, like those fascist parties before World War II -- they've gone up, they've reached 14 percent."", ""[2020] Germany, England, Holland and France, all on this list."", ""[2021] I congratulate our Turkish national football team, which won against the Netherlands, with a good start on the way to the 2022 FIFA World Cup, and wish for further success."", ""[2022] On another matter... this AK PARTY government has put our brothers and sisters in Germany, France, in the Netherlands, on their pensions.""]}]",0.85
GRC,TUR,0.9169,refugees / national_security; refugees / border_control; refugees / international_law,1814,158,mutual_complaint,refugees / national_security; refugees / border_control; refugees / international_law,true,mutual_complaining,"Both Greece and Turkey frequently express complaints about each other regarding the handling of refugees and related issues, indicating a mutual adversarial stance.","[{""direction"": ""GRC->TUR"", ""spans"": [""[2016] Our country is also hostage, together with thousands of refugees, of a fragile agreement between the European Union and Turkey."", ""[2020] There are shocking complaints that they are moving with the gun to the front from the military and paramilitary state of Turkey."", ""[2020] I should like to point out two things here: first of all, Europe's attitude and Turkey's attitude."", ""[2021] And, of course, our participation can make an effective contribution as a counterweight to Turkey's participation, providing sound information on our country's positions and on what is happening in the Aegean Sea, where Turkey has undertaken, on the basis of the 2016 Joint Declaration, to pr""]}, {""direction"": ""TUR->GRC"", ""spans"": [""[2016] As such, refugees who are concerned about the future are willing to risk their lives to go to Europe through Greece as if they would rather die."", ""[2020] Our side, Turkey, claims, has passed 150,000 immigrants, but according to Greece, only 7,000 immigrants have been able to enter."", ""[2021] Today, the world is watching the cases of repatriation in Greece."", ""[2022] Those who have ignored Turkey in the Eastern Mediterranean, who have armed non-military islands in the Aegean, who have made their landwaters a US military base, including Crete, and who have stated that they will raise their landwaters from six miles to 12 miles [6 km] and that the Lavrion re""]}]",0.85
BEL,TUR,0.8043,refugees / national_security; refugees / border_control; refugees / international_law,1387,11,mutual_complaint,refugees / national_security; refugees / border_control; refugees / international_law,true,mutual_complaining,"Both parliaments frequently mention each other in negative contexts, with Belgium criticizing Turkey's treatment of refugees and Turkey commenting on Belgium's policies and behavior towards refugees. This mutual complaining suggests a tense relationship rather than alignment or cooperation.","[{""parliament"": ""BEL"", ""year"": 2016, ""text"": ""As far as the treatment in Turkey is concerned, you can apply for asylum in Turkey.""}, {""parliament"": ""BEL"", ""year"": 2019, ""text"": ""Belgium supports the continuation of aid to Turkey for the reception of the four million refugees in its territory.""}, {""parliament"": ""BEL"", ""year"": 2020, ""text"": ""I am aware of the various reports and reports from Turkey on the return to Syria.""}, {""parliament"": ""TUR"", ""year"": 2016, ""text"": ""Again, in Germany, you look, the Germans applaud as asylum seekers burn their dorms; Belgium, the Netherlands do not behave differently.""}, {""parliament"": ""TUR"", ""year"": 2017, ""text"": ""Just as we, or ministers, have been on our agenda today, have gone to Germany, France, the Netherlands, Belgium, and Belgium, and the Turkish and Muslim politicians in Bulgaria have the chance to come to Turkey and do propaganda on the double citizens here.""}, {""parliament"": ""TUR"", ""year"": 2021, ""text"": ""Consider the number of minimum wage: Turkey is one of the highest countries in Europe; Belgium is 9 per thousand; Germany is 6 per cent.""}]",0.75
TUR,SWE,0.8792,refugees / national_security; refugees / border_control; refugees / international_law,16,1022,mutual_complaint,refugees / national_security; refugees / border_control; refugees / international_law,true,mutual_complaining,"Both Turkey and Sweden frequently mention each other in the context of migration, with Turkey often discussing Sweden's support for the PKK and Sweden criticizing Turkey's human rights record and its role in migration. This indicates a pattern of mutual complaints rather than a cooperative relationship.","[{""direction"": ""TUR->SWE"", ""spans"": [""[2016] ... Then he gave the King of Hungary and the King of Sweden the right to asylum ."", ""[2021] ... So Canada , Turkey and Sweden are among the countries that will be most affected by the migration movement of the climate crisis , and we have a major immigration problem that will mark Turkey 's future because Turkey is historically on migration routes ."", ""[2022] ... There are 600,000 in Jordan , 150,000 in Egypt , 600,000 in Germany , Sweden in North America ."", ""[2022] ... How does Sweden support the PKK , and what kind of presence does the PKK have in Sweden ?""]}, {""direction"": ""SWE->TUR"", ""spans"": [""[2016] ... They then go back to Turkey , and so says the EU , not Turkey : for every person who goes back , we take one from Turkey ."", ""[2018] ... The agreement to stop refugees must be dismantled , and we must dare to make greater demands for human rights to be respected before we continue to trade with Turkey ."", ""[2020] ... It is very important that we have both criticism and cooperation with Turkey ."", ""[2022] ... The Left Party has long criticised developments in Turkey and called on Sweden and the EU to act more strongly .""]}]",0.85
BEL,GRC,0.8959,refugees / border_control; refugees / national_security; refugees / international_law,812,36,administrative_coordination,refugees / border_control; refugees / national_security; refugees / international_law,false,,"The parliaments of Belgium and Greece have shown significant coordination on issues related to refugees and border control, with multiple mentions of cooperation and shared concerns. However, the primary nature of their interaction appears to be in the context of administrative and operational cooperation rather than ideological alignment or competition.","[""[2016] First, the corrective mechanism is likely to be applied frequently in Greece and Italy."", ""[2020] We want to show our commitment to Greece, given the very difficult situation, but it is not up to Belgium to make further commitments now before a more structural solution can be agreed at European level."", ""[2021] Greece announced earlier this week that it will apply the concept of safe third country for asylum seekers from Afghanistan, Bangladesh, Pakistan, Somalia and Syria when they enter the country through Turkey."", ""[2022] I agree with you when you question the three billions paid to Greece, especially since many asylum seekers are in a situation of material deprivation in Greece.""]",0.85
TUR,CZE,0.9031,refugees / national_security; refugees / border_control; refugees / allocation_of_resources,0,690,administrative_coordination,refugees / national_security; refugees / border_control; refugees / allocation_of_resources,false,,"While both parliaments share similar migration policy profiles, particularly focusing on refugees and border control, there is a notable imbalance in cross-mentions. Turkey (TUR) barely mentions the Czech Republic (CZE), indicating that the coordination appears to be unidirectional and framed in administrative terms rather than mutual acknowledgment or competition.","[""[2016] Providing rapid and targeted assistance to Turkey is considered one of the keys to addressing the refugee crisis in the EU."", ""[2016] Turkey has become a funnel that has been sucking illegal refugees from Afghanistan, Iran, Iraq, Syria, Jordan, even North Africa, a funnel that has been sucking illegal refugees and associated organized crime involving human smuggling."", ""[2019] By the way, the Hungarian government has G to G with Turkey, so they have a joint government meeting on 7 November."", ""[2022] The only way is to reduce currents, migratory currents that are currently leading to the European Union, that is to talk with Turkey.""]",0.85
GRC,NOR,0.9153,refugees / border_control; refugees / national_security; refugees / international_law,20,649,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"Greece (GRC) frequently mentions Norway (NOR) in the context of policy discussions related to refugees, border control, national security, and international law. However, Norway does not reciprocate by mentioning Greece in a similar manner, indicating that Greece is modeling its policies after Norway without any explicit acknowledgment from Norway.","[{""direction"": ""GRC->NOR"", ""spans"": [""[2016] Mr Theodorakis raised two specific issues : firstly , he said that it costs Norway EUR 12 000 and Greece EUR 15 000."", ""[2019] In this logic , such as Ireland , Belgium , the Netherlands , Denmark , Sweden , Norway , Spain and others , since the 1960s , they have introduced this right in their own countries."", ""[2020] I tell you this to know : there is the issue of the 20 million that Norway would give us , on the basis of the agreement between Greece and Norway."", ""[2021] I signed Norway 's request.""]}, {""direction"": ""NOR->GRC"", ""spans"": [""[2018] I notice that the Council of State believes that conditions have evolved for the better in Greece."", ""[2020] The Government asks the Government to ensure that Norway joins the German initiative on the evacuation of vulnerable and children from refugee camps in Greece now."", ""[2020] We got a solution that means Norway is picking up vulnerable children and families from the camps in Greece."", ""[2021] The question is whether we can relieve a little more distress than what we are willing to do now , that 's what this case is about , and maybe also go ahead to get more countries to relieve Greece.""]}]",0.85
NLD,GBR,0.88,refugees / border_control; refugees / national_security; refugees / international_law,630,0,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"The cosine similarity is high, indicating strong policy alignment. However, there is a significant imbalance in cross-mentions, with NLD frequently mentioning GBR while GBR does not mention NLD at all. This suggests that NLD is modeling its policies after GBR without reciprocal influence.","[""[2018] ... I think it is important for the Prime Minister to make a commitment to buy time , to push deadlines backwards , to ensure that we do not all jump off that cliff and in the meantime continue to think about what we can do from the European side to the causes that have led to the voice for Brexit in th... "", ""[2020] ... Either they can continue to live in the UK with their Dutch passport under British foreign law , which makes their legal status in the UK worse but retains the Dutch citizenship , or they can apply for British citizenship , allowing them to fully enjoy the rights of citizens in the UK ."", ""[2020] ... I quote from the reply : 'What is regulated here in terms of civil rights for EU citizens in the UK is the lower limit for what is sufficiently guaranteed'."", ""[2022] ... Is the cabinet prepared to advocate more action in the EU to also conclude such migration deals , to take the lead in them and to contact the UK about the experience ?""]",0.95
BEL,GBR,0.8502,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,590,0,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / allocation_of_resources,false,,"Belgium frequently mentions the United Kingdom in the context of border control, security, and resource allocation for refugees, indicating that Belgium is modeling its policies after the UK. However, the UK does not reciprocate this level of mention, suggesting a one-way influence.","[""[2018] ... But Ostend, especially in the last few years of ferry connections to England, has suffered a great deal from illegal transit migrants. ..."", ""[2021] ... The first countries to receive resettlements in 2019 were Canada, Germany, the United States, Sweden, the United Kingdom and France. ..."", ""[2021] ... Relations with the United Kingdom are political, administrative and operational. ..."", ""[2022] ... How do you assess the existing police cooperation in the border region between Great Britain, France and Belgium? ...""]",0.9
TUR,BGR,0.9391,refugees / national_security; refugees / border_control; refugees / international_law,73,512,mutual_complaint,refugees / national_security; refugees / border_control; refugees / international_law,true,mutual_complaint,"Both Turkey and Bulgaria frequently mention each other in negative terms, with Turkey complaining about Bulgarian politicians engaging in propaganda activities and Bulgaria expressing concerns about Turkey becoming a buffer zone for migrants. The complaints are mutual and framed in similar terms, indicating a mutual complaint relationship.","[{""direction"": ""TUR->BGR"", ""spans"": [""[2017] ... Therefore , when Turkish and Muslim politicians who are also political in Bulgaria arrive , they also come to Turkey and participate in propaganda activities in Turkey . ..."", ""[2020] ... Mr. President , hundreds of thousands of our brothers from Bulgaria who have come from the Bulgarian era 's totalitarian Jivkov regime with mandatory migration or illegal tourists have been accepted into the citizenship of the Republic of Turkey , and tens of thousands of them have been benefited fr ..."", ""[2022] ... Bulgaria , however , is sending asylum seekers from our country back to the 40s . ...""]}, {""direction"": ""BGR->TUR"", ""spans"": [""[2016] ... We , before signing the Agreement with Turkey , at all levels , raised the question that it should also take into account the danger of developing new routes across the territory of Bulgaria , crossing the Bulgarian - Turkish border . ..."", ""[2018] ... I expect , however , because it is one of the reasons for these migration processes that are developing at the moment , and when they have spoken about them , I would like to confirm a conclusion that Turkey 's commitment to migration processes is in direct relation to the dynamics of its relations ..."", ""[2021] ... At the high state level , as we hear and monitor the media , the statements of the Turkish government are that there are already a large number of migrants on its territory and , rudely speaking , applications at political level that Turkey will not become a buffer zone and take care of all these mi ...""]}]",0.85
SWE,FIN,0.8857,refugees / border_control; refugees / national_security; refugees / international_law,116,454,unilateral_modeling,refugees / border_control; refugees / national_security; refugees / international_law,false,,"While both Sweden and Finland share similar policies on refugees and border control, the evidence suggests that Finland is more likely modeling its practices after Sweden. This is evident from the higher number of mentions (454) of Finland referencing Sweden compared to the reverse (116). The samples provided show Finland explicitly seeking alignment with Swedish practices and mentioning Swedish policies, while Sweden's mentions are more general and less focused on modeling.","[{""direction"": ""SWE->FIN"", ""spans"": [""[2018] We have an immigration from Finland, which I also come from, in the 1960s and 1970s when there were tough times in Finland."", ""[2021] An exception has been made for this group in Finland."", ""[2021] As I said earlier, I have many contacts at the highest level with the leadership of self-government – I would probably even say more than Finland at the level of foreign ministers."", ""[2022] The analysis showed that, given the inbreeding rate of the Scandinavian wolf population, at least 300 wolves are needed in Sweden, and at least one immigrant wolf from Finland or Russia needs to reproduce with a Scandinavian wolf every five years in order for the population to have favourable con""]}, {""direction"": ""FIN->SWE"", ""spans"": [""[2016] With regard to this possibility of internal escape: The Government has emphasised in various policies that Finnish administrative practice should seek to be in line with the administrative practice mainly of Sweden and other Nordic countries, in so far as legislation does not apply."", ""[2019] Just yesterday we heard that Sweden and Denmark, among other things, are not going to participate in this."", ""[2020] For Finland, however, the most concrete thing is that at the time tens of thousands of Finns went to work in Sweden and have worked there and are receiving pensions both from Sweden and possibly from Finland."", ""[2021] Or were 70,000 war children transferred to Sweden specifically these asylum tourists in that situation?""]}]",0.8
BEL,ITA,0.8642,refugees / national_security; refugees / border_control; refugees / international_law,544,11,administrative_coordination,refugees / national_security; refugees / border_control; refugees / international_law,false,,"The parliaments of Belgium and Italy show significant administrative coordination through cross-mentions of joint efforts and shared concerns regarding refugees, national security, and border control. The mentions indicate operational cooperation and mutual recognition of challenges, but there is no explicit acknowledgment of each other as models or allies.","[""[2016] On 16 September 2016, Belgium offered 300 new sites, namely 200 to Greece and 100 to Italy."", ""[2019] - the motion for a resolution (Ms Vanessa Matz) calling on the Government to support the pre-agreement between the Ministers of the Interior of Germany, France, Italy and Malta with a view to establishing a mechanism for the distribution of asylum seekers between the Member States of the European Union."", ""[2020] Some asylum seekers come from countries with high risks for the spread of the virus, or travel through Italy, for example."", ""[2022] You refer to countries such as Austria and Germany, but there are also people coming from Italy, Greece and so on."", ""[2014] Interesting is the case of Luxembourg, which is entirely surrounded by the territory of the European Union (France, Germany and Belgium), and yet those who enter it clandestinely risk up to six months in prison."", ""[2015] Italy is the last of the European countries to ratify the Hague Convention after last September 1 Belgium also fulfilled this duty."", ""[2015] I will only list to Mr De Cristofaro those who voted in favour of this measure: the United Kingdom, Germany, France, Spain, Slovenia, Greece, Luxembourg, Belgium, Finland, Hungary, Lithuania, the Netherlands and Sweden."", ""[2019] In Belgium and France the phenomenon is rooted, also in the light of the presence of numerous Islamic enclaves in the outskirts of large cities, real operating bases for the authors of the main attacks on the national Jewish communities.""]",0.8
